timestamp,product_id,product_name,category,price,discount_percent,final_price,stock,demand_score,season,day_of_week,time_of_day,competitor_price,user_click_rate,conversion_rate
5/24/2025 12:22,PR0106,Product106,Clothing,658.32,23.7,502.3,514,0.8,Spring,Saturday,Morning,675,0.285,0.043
5/23/2025 8:38,PR0449,Product449,Home & Kitchen,808.3,33.33,538.89,746,0.82,Spring,Wednesday,Night,852.95,0.089,0.149
5/8/2025 15:30,PR0393,Product393,Home & Kitchen,492.54,34.94,320.45,719,0.79,Winter,Saturday,Morning,520.3,0.224,0.179
5/4/2025 13:55,PR0413,Product413,Electronics,85.91,3.1,83.25,370,0.5,Autumn,Saturday,Morning,86.26,0.274,0.099
5/12/2025 6:04,PR0136,Product136,Toys,545.13,11.27,483.69,180,0.21,Winter,Tuesday,Night,519.52,0.149,0.11
5/23/2025 9:49,PR0477,Product477,Books,545.75,6.42,510.71,781,0.44,Autumn,Thursday,Night,540.72,0.159,0.141
5/9/2025 20:00,PR0141,Product141,Electronics,48.47,1.05,47.96,208,0.84,Winter,Wednesday,Morning,45.31,0.183,0.138
5/18/2025 1:57,PR0447,Product447,Electronics,372.75,4.71,355.19,936,0.92,Autumn,Sunday,Morning,358.16,0.178,0.158
5/20/2025 8:43,PR0024,Product24,Clothing,447.18,2.67,435.24,396,0.47,Autumn,Tuesday,Afternoon,415.12,0.114,0.089
4/29/2025 19:58,PR0146,Product146,Books,675.49,12.28,592.54,951,0.2,Summer,Monday,Morning,741.64,0.282,0.054
5/5/2025 16:54,PR0342,Product342,Home & Kitchen,805.24,30.34,560.93,969,0.33,Summer,Monday,Evening,810.69,0.062,0.19
5/2/2025 11:23,PR0334,Product334,Electronics,453.14,44.07,253.44,530,0.86,Winter,Thursday,Morning,435.75,0.175,0.04
4/27/2025 23:58,PR0381,Product381,Home & Kitchen,911.62,47.03,482.89,113,0.64,Summer,Sunday,Afternoon,929.28,0.183,0.134
5/18/2025 5:50,PR0112,Product112,Home & Kitchen,164.27,37.37,102.88,465,0.22,Summer,Wednesday,Night,167.37,0.298,0.134
5/14/2025 11:11,PR0193,Product193,Electronics,219.04,10.35,196.37,356,0.46,Winter,Thursday,Afternoon,236.03,0.156,0.042
4/30/2025 20:20,PR0278,Product278,Home & Kitchen,927.22,40.31,553.46,685,0.71,Summer,Saturday,Morning,911.62,0.062,0.142
